category,product_name,description,condition,price,stock
NES Games,Super Mario Bros.,"The iconic platformer that started it all. Help Mario rescue Princess Peach from Bowser in this timeless classic.",Excellent,24.99,3
NES Games,The Legend of Zelda,"Explore Hyrule and collect the Triforce pieces in this pioneering action-adventure game.",Good,19.99,5
NES Games,Mega Man 2,"Battle Dr. Wily's robot masters in what many consider the best Mega Man game ever made.",Mint,39.99,2
NES Games,Contra,"Run and gun through alien-infested levels. Up Up Down Down Left Right Left Right...",Good,14.99,4
NES Games,Castlevania,"Whip your way through Dracula's castle in this gothic action classic.",Excellent,22.99,3
NES Games,Metroid,"Explore the alien planet Zebes as bounty hunter Samus Aran in this atmospheric classic.",Good,18.99,2
NES Games,Duck Tales,"Based on the beloved cartoon, guide Scrooge McDuck on globe-trotting treasure hunts.",Excellent,34.99,1
NES Games,Battletoads,"One of the toughest NES games ever made. Famous (or infamous) for its turbo tunnel.",Acceptable,9.99,6
SNES Games,Super Mario World,"Mario's SNES debut featuring Yoshi and 96 exits to discover across Dinosaur Land.",Mint,44.99,2
SNES Games,The Legend of Zelda: A Link to the Past,"Widely regarded as one of the greatest games ever made. Dual-world adventure in Hyrule.",Excellent,54.99,3
SNES Games,Super Metroid,"The definitive Metroid experience. Explore Zebes and rescue the last baby Metroid.",Mint,64.99,1
SNES Games,Street Fighter II Turbo,"Hadouken! The legendary fighting game that defined the genre for a generation.",Good,16.99,5
SNES Games,Donkey Kong Country,"Stunning pre-rendered graphics and brilliant level design from Rare.",Excellent,24.99,4
SNES Games,Final Fantasy VI,"An epic RPG with one of gaming's greatest villain stories. Also known as FF3 in North America.",Mint,79.99,1
SNES Games,Chrono Trigger,"Time-traveling RPG masterpiece developed by the Dream Team of Square and Enix.",Mint,99.99,1
SNES Games,Super Mario Kart,"The original kart racing game that spawned a legendary franchise.",Good,19.99,3
Sega Genesis,Sonic the Hedgehog,"Blast through Green Hill Zone with gaming's fastest mascot.",Excellent,14.99,4
Sega Genesis,Sonic the Hedgehog 2,"Two-player co-op with Tails joins the chaos emerald hunt.",Good,11.99,5
Sega Genesis,Streets of Rage 2,"The ultimate beat-em-up on the Genesis. Streets of Rage 2 perfected the formula.",Excellent,24.99,3
Sega Genesis,Earthworm Jim,"Quirky platformer starring a worm in a super suit. Groovy!",Good,12.99,4
Sega Genesis,ToeJam & Earl,"Chill alien duo tries to collect pieces of their spaceship on a procedurally generated Earth.",Acceptable,8.99,6
Sega Genesis,Mortal Kombat II,"Finish him! The Genesis port of the brutal arcade fighting game.",Good,9.99,5
Nintendo 64,Super Mario 64,"The game that defined 3D platforming. Collect Power Stars in Princess Peach's castle.",Excellent,34.99,3
Nintendo 64,The Legend of Zelda: Ocarina of Time,"Arguably the greatest game ever made. Link's first 3D adventure through time.",Mint,59.99,2
Nintendo 64,GoldenEye 007,"Revolutionized console first-person shooters. Multiplayer madness with your friends.",Good,29.99,4
Nintendo 64,Super Smash Bros.,"The original four-player brawl featuring Nintendo's greatest icons.",Excellent,44.99,2
Nintendo 64,Mario Kart 64,"Four-player racing with iconic tracks like Rainbow Road and Koopa Troopa Beach.",Good,24.99,3
Nintendo 64,Banjo-Kazooie,"Rare's masterpiece platformer featuring a bear and bird duo collecting jiggies.",Excellent,39.99,2
PlayStation,Final Fantasy VII,"Cloud Strife, Aerith, and the fight against Shinra. One of the most iconic RPGs ever made.",Excellent,39.99,3
PlayStation,Metal Gear Solid,"Cinematic stealth action masterpiece from Hideo Kojima. Watch out for Psycho Mantis!",Good,24.99,4
PlayStation,Crash Bandicoot,"PlayStation's mascot spins his way through tropical island challenges.",Excellent,19.99,5
PlayStation,Spyro the Dragon,"The little purple dragon soars through magical realms in this charming platformer.",Good,14.99,4
PlayStation,Tony Hawk's Pro Skater 2,"The greatest skateboarding game ever made. S-K-A-T-E all day.",Excellent,22.99,3
PlayStation,Castlevania: Symphony of the Night,"The defining Metroidvania. What is a man? A miserable little pile of secrets!",Mint,89.99,1
Retro Consoles,Nintendo Entertainment System (NES),"The original NES console in working condition. Tested and ready to play.",Good,79.99,2
Retro Consoles,Super Nintendo (SNES),"The beloved SNES console with original controllers. Power light works great.",Excellent,89.99,2
Retro Consoles,Sega Genesis Model 1,"The high-definition graphics version of the Genesis. Includes original controller.",Good,69.99,3
Retro Consoles,Nintendo 64 Console,"The N64 console in charcoal grey with one controller. Expansion pack included.",Excellent,74.99,2
Retro Consoles,Original PlayStation,"The classic PS1 console. Plays all original PlayStation games.",Good,59.99,3
Retro Consoles,Game Boy Original,"The original grey brick Game Boy in working condition. AA batteries required.",Acceptable,34.99,4
Accessories,NES Zapper Light Gun,"The iconic orange and grey light gun for Duck Hunt and other NES games.",Good,12.99,5
Accessories,SNES Super Scope,"The bazooka-style light gun accessory for SNES. Complete in box.",Acceptable,24.99,2
Accessories,Nintendo 64 Rumble Pak,"Feel the action with the N64 Rumble Pak. Works with GoldenEye and many others.",Good,9.99,6
Accessories,Game Genie NES,"The famous cheat device for NES. Includes code booklet.",Good,14.99,3
Accessories,Super Game Boy,"Play Game Boy games on your SNES with this incredible adapter.",Excellent,29.99,2
Memorabilia,Nintendo Power Magazine Vol. 1,"The very first issue of Nintendo Power magazine from 1988. Great collector piece.",Acceptable,19.99,2
Memorabilia,Zelda Strategy Guide NES,"The original gold Legend of Zelda strategy guide. Shows some wear but readable.",Acceptable,12.99,3
Memorabilia,Sonic the Hedgehog Plush 1991,"Original 1991 Sonic plush toy. Some fading but a great piece of gaming history.",Good,29.99,1
NES Games,Teenage Mutant Ninja Turtles,"The classic side-scroller based on the cartoon. Hard but iconic.",Good,11.99,4
NES Games,Dr. Mario,"Puzzle game where you drop pills to eliminate viruses. Addictive two-player mode.",Excellent,9.99,5
NES Games,Excitebike,"Motocross racing with track editor. Rev those engines!",Good,7.99,6
NES Games,Punch-Out!!,"Mike Tyson's Punch-Out!! (or Mr. Dream). Fight your way through colorful boxers.",Excellent,24.99,3
SNES Games,Super Castlevania IV,"Simon Belmont returns with 8-way whip action and incredible music.",Mint,44.99,2
SNES Games,EarthBound,"Quirky cult classic RPG about Ness and friends. Starmen, Mr. Saturns, and a feel-good vibe.",Good,189.99,1
SNES Games,Secret of Mana,"Action RPG with three-player co-op. Beautiful graphics and music.",Excellent,49.99,2
SNES Games,F-Zero,"High-speed anti-gravity racing. Futuristic tracks and blistering speed.",Good,12.99,4
Sega Genesis,Shining Force,"Strategy RPG with charming characters and tactical battles.",Excellent,34.99,2
Sega Genesis,Gunstar Heroes,"Run-and-gun classic from Treasure. Over-the-top action and creative levels.",Mint,59.99,1
Sega Genesis,Phantasy Star IV,"Epic RPG that concluded the Phantasy Star series. Great story and graphics.",Excellent,69.99,1
Nintendo 64,Paper Mario,"Mario's first RPG adventure on N64. Charming paper craft visuals and witty writing.",Good,44.99,2
Nintendo 64,Star Fox 64,"All-range mode, voice acting, and the iconic 'Do a barrel roll!'",Excellent,29.99,3
Nintendo 64,Conker's Bad Fur Day,"Mature-rated platformer from Rare. Profane, hilarious, and technically impressive.",Mint,89.99,1
PlayStation,Resident Evil 2,"Survival horror classic with two intertwined scenarios. The best in the series for many.",Excellent,29.99,3
PlayStation,Tomb Raider,"Lara Croft's debut. 3D platforming and puzzle-solving across tombs.",Good,9.99,5
PlayStation,Final Fantasy Tactics,"Tactical RPG with deep job system and political story. Cult favorite.",Mint,49.99,2
PlayStation,Vagrant Story,"Action RPG with complex weapon system and cinematic storytelling.",Excellent,44.99,1
Game Boy,The Legend of Zelda: Link's Awakening,"Zelda on the go with a unique dream-world setting. No Princess Zelda.",Excellent,24.99,3
Game Boy,Donkey Kong Land,"Pocket-sized Donkey Kong platformer with graphics reminiscent of the SNES game.",Good,10.99,4
Game Boy,Pokémon Red,"The game that started the phenomenon. Choose Charmander, Squirtle, or Bulbasaur.",Mint,89.99,2
Game Boy,Pokémon Blue,"The counterpart to Red. Catch 'em all!",Good,79.99,2
Game Boy Advance,The Legend of Zelda: The Minish Cap,"Capcom-developed Zelda with shrinking mechanic. Beautiful pixel art.",Excellent,64.99,1
Game Boy Advance,Advance Wars,"Turn-based tactics with colorful commanders. Addictive and deep.",Good,24.99,3
Game Boy Advance,Fire Emblem,"First Fire Emblem to release in the West. Strategic RPG with permadeath.",Excellent,39.99,2
Accessories,N64 Transfer Pak,"Connects Game Boy games to N64 for use in Pokémon Stadium and other titles.",Good,14.99,4
Accessories,Dreamcast Keyboard,"Official keyboard for Dreamcast. Essential for Typing of the Dead and Phantasy Star Online.",Excellent,29.99,2
Accessories,SNES Mouse,"Nintendo's official mouse for Mario Paint and other compatible games.",Good,17.99,3
Memorabilia,Game Boy Camera,"The original digital camera for Game Boy. Prints using the Game Boy Printer.",Acceptable,24.99,2
Memorabilia,Game Boy Printer,"Thermal printer for Game Boy. Works with Camera and other games.",Good,29.99,1
Memorabilia,Super Mario Bros. 3 Official Guide,"Nintendo Power strategy guide for SMB3. Great condition.",Excellent,19.99,2